transect_number,size,date,orientation,assistant,management,burn_season,years_since,biomass_reduction_year,management_unit
1,0.43,1/10/15,132,FC,WC,summer,1.75,2014,1
2,0.5,1/10/15,90,FC,WC,summer,1.75,2014,2
3,3.34,1/10/15,190,FC,Fire_WC,autumn,0.5,2015,3
4,0.465,1/10/15,110,FC,Fire_WC,spring,1,2014,4
6,1.73,1/10/15,15,FC,WC,autumn,4.5,2011,6
7,0.65,1/10/15,195,FC,WC,spring,2,2013,7
8,0.289,1/10/15,104,FC,WC,spring,2,2013,8
9,0.614,1/10/15,200,FC,Fire_WC,autumn,0.75,2015,9
10,0.782,1/10/15,25,FC,WC,autumn,1.25,2014,10
11,1.14,1/10/15,200,FC,WC,autumn,1.5,2014,11
13,2.66,1/10/15,134,FC,WC,summer,1.75,2014,13
14,0.77,1/10/15,160,FC,Fire_WC,spring,1,2014,14
15,0.78,1/10/15,350,FC,WC,autumn,1.5,2014,15
16,0.055,1/10/15,355,FC,WC,autumn,1.5,2014,16
18,1.04,1/10/15,10,FC,Fire_WC,autumn,0.5,2015,18
20,0.83,1/10/15,10,FC,Fire_WC,autumn,0.5,2015,20
21,0.768,1/10/15,185,FC,Fire_WC,spring,1,2014,21
22,0.227,1/10/15,225,FC,SowingForbs_WC,autumn,2.5,2013,22
23,0.64,1/10/15,100,FC,Fire_WC,autumn,0.5,2015,23
24,3.3,1/10/15,202,FC,WC,autumn,1.5,2014,24
25,0.953,1/10/15,350,FC,Fire_WC,autumn,0.5,2015,25
26,10.8,1/10/15,240,FC,WC,autumn,1.5,2014,26
28,59.9,1/10/15,85,FC,WC,autumn,1.5,2014,28
29,0.226,1/10/15,25,FC,Fire_WC,autumn,0.5,2015,29
30,0.664,1/10/15,200,FC,Fire_WC,autumn,0.5,2015,30
31,3.58,1/10/15,91,FC,WC,autumn,1.5,2014,31
32,3.26,1/10/15,270,FC,Fire_WC,autumn,0.5,2015,32
33,0.589,1/10/15,11,FC,Fire_WC,autumn,0.5,2015,33
34,0.415,1/10/15,305,FC,WC,autumn,1.5,2014,34
35,0.638,1/10/15,345,FC,WC,summer,3.75,2012,35
37,1.15,1/10/15,10,FC,WC,autumn,1.5,2014,37
38,0.28,1/10/15,35,FC,WC,summer,2.75,2013,38
40,3.26,1/10/15,270,FC,Fire_WC,autumn,0.5,2015,32
41,3.58,1/10/15,91,FC,WC,autumn,1.5,2014,31
42,3.34,1/10/15,0,FC,Fire_WC,autumn,0.5,2015,3
44,10.8,1/10/15,240,FC,WC,autumn,1.5,2014,26
45,10.8,1/10/15,24,FC,WC,autumn,1.5,2014,26
46,59.9,1/10/15,189,FC,WC,autumn,1.5,2014,28
47,59.9,1/10/15,180,FC,WC,autumn,1.5,2014,28